=================================================================
                        LOG DETAILS OF JOB
=================================================================

17/03/20 23:29:32 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/20 23:29:33 INFO client.RMProxy: Connecting to ResourceManager at yogihadoopcluster-1-m/10.138.0.4:8032
17/03/20 23:29:34 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/20 23:29:37 INFO input.FileInputFormat: Total input paths to process : 3033
17/03/20 23:29:37 INFO mapreduce.JobSubmitter: number of splits:3033
17/03/20 23:29:37 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490049993001_0005
17/03/20 23:29:37 INFO impl.YarnClientImpl: Submitted application application_1490049993001_0005
17/03/20 23:29:37 INFO mapreduce.Job: The url to track the job: http://yogihadoopcluster-1-m:8088/proxy/application_1490049993001_0005/
17/03/20 23:29:37 INFO mapreduce.Job: Running job: job_1490049993001_0005
17/03/20 23:29:46 INFO mapreduce.Job: Job job_1490049993001_0005 running in uber mode : false
17/03/21 01:17:36 INFO mapreduce.Job:  map 72% reduce 2%
17/03/21 01:19:42 INFO mapreduce.Job:  map 73% reduce 2%
17/03/21 01:21:46 INFO mapreduce.Job:  map 74% reduce 2%
17/03/21 01:23:50 INFO mapreduce.Job:  map 75% reduce 2%
17/03/21 01:25:50 INFO mapreduce.Job:  map 76% reduce 2%
17/03/21 01:28:00 INFO mapreduce.Job:  map 77% reduce 2%
17/03/21 01:29:56 INFO mapreduce.Job:  map 78% reduce 2%
17/03/21 01:31:58 INFO mapreduce.Job:  map 79% reduce 2%
17/03/21 01:33:59 INFO mapreduce.Job:  map 80% reduce 2%
17/03/21 01:36:00 INFO mapreduce.Job:  map 81% reduce 2%
17/03/21 01:38:06 INFO mapreduce.Job:  map 82% reduce 2%
17/03/21 01:40:17 INFO mapreduce.Job:  map 83% reduce 2%
17/03/21 01:42:26 INFO mapreduce.Job:  map 84% reduce 2%
17/03/21 01:44:30 INFO mapreduce.Job:  map 85% reduce 2%
17/03/21 01:46:35 INFO mapreduce.Job:  map 86% reduce 2%
17/03/21 01:48:45 INFO mapreduce.Job:  map 87% reduce 2%
17/03/21 01:50:45 INFO mapreduce.Job:  map 88% reduce 2%
17/03/21 01:52:45 INFO mapreduce.Job:  map 89% reduce 2%
17/03/21 01:54:44 INFO mapreduce.Job:  map 90% reduce 2%
17/03/21 01:55:50 INFO mapreduce.Job:  map 90% reduce 3%
17/03/21 01:56:46 INFO mapreduce.Job:  map 91% reduce 3%
17/03/21 01:59:02 INFO mapreduce.Job:  map 92% reduce 3%
17/03/21 02:01:12 INFO mapreduce.Job:  map 93% reduce 3%
17/03/21 02:03:12 INFO mapreduce.Job:  map 94% reduce 3%
17/03/21 02:05:19 INFO mapreduce.Job:  map 95% reduce 3%
17/03/21 02:07:23 INFO mapreduce.Job:  map 96% reduce 3%
17/03/21 02:09:26 INFO mapreduce.Job:  map 97% reduce 3%
17/03/21 02:11:38 INFO mapreduce.Job:  map 98% reduce 3%
17/03/21 02:13:44 INFO mapreduce.Job:  map 99% reduce 3%
17/03/21 02:15:44 INFO mapreduce.Job:  map 100% reduce 3%
17/03/21 02:16:46 INFO mapreduce.Job:  map 100% reduce 4%
17/03/21 02:16:49 INFO mapreduce.Job:  map 100% reduce 5%
17/03/21 02:16:52 INFO mapreduce.Job:  map 100% reduce 8%
17/03/21 02:16:55 INFO mapreduce.Job:  map 100% reduce 9%
17/03/21 02:16:58 INFO mapreduce.Job:  map 100% reduce 11%
17/03/21 02:17:01 INFO mapreduce.Job:  map 100% reduce 12%
